Date,Open,High,Low,Close,Adj Close,Volume,Returns,Log Returns
7/12/2021,606,607.419983,596.47998,600.200012,600.200012,1696200,,
7/13/2021,600.559998,609.330017,598.419983,605.01001,605.01001,1435600,0.008013992,0.00798205
7/14/2021,608.140015,611.299988,604.01001,608.830017,608.830017,1376900,0.006313957,0.006294107
7/15/2021,608.400024,609.950012,602.650024,606.169983,606.169983,1618100,-0.004369091,-0.004378664
7/16/2021,608.710022,611.619995,603.659973,606.099976,606.099976,1249700,-0.000115491,-0.000115497
7/19/2021,602.75,610.690002,598.140015,602.049988,602.049988,2046600,-0.006682046,-0.006704471
7/20/2021,605.390015,612.75,598.47998,608.719971,608.719971,1675700,0.011078786,0.011017866
7/21/2021,605.719971,612.580017,603.320007,612.26001,612.26001,1381000,0.005815546,0.005798701
7/22/2021,614.580017,623.950012,614.580017,623.679993,623.679993,1477900,0.018652179,0.01848036
7/23/2021,625.76001,631.640015,622,625.869995,625.869995,2030400,0.003511419,0.003505269
7/26/2021,624.179993,625.869995,619.72998,620.799988,620.799988,1389800,-0.008100735,-0.008133724
7/27/2021,621,623.919983,610.640015,618.280029,618.280029,1540300,-0.004059212,-0.004067473
7/28/2021,620.98999,626,617.570007,620.919983,620.919983,1468100,0.004269835,0.004260746
7/29/2021,617.039978,625.669983,617.039978,621.700012,621.700012,1068900,0.001256247,0.001255459
7/30/2021,619.030029,622.799988,617.289978,621.630005,621.630005,1403400,-0.000112606,-0.000112612
8/2/2021,625.869995,627.599976,612.929993,618.75,618.75,1466800,-0.004632989,-0.004643755
8/3/2021,620.22998,624.700012,614,621.280029,621.280029,1067300,0.004088936,0.004080599
8/4/2021,622.469971,627.080017,617.619995,625.679993,625.679993,1306800,0.007082095,0.007057134
8/5/2021,626.98999,632.469971,623,632.080017,632.080017,1158200,0.010228909,0.010176948
8/6/2021,629.27002,631.840027,625.169983,631.380005,631.380005,1127700,-0.001107474,-0.001108087
8/9/2021,634.97998,634.97998,626.919983,629.219971,629.219971,1118900,-0.003421131,-0.003426997
8/10/2021,630.47998,633.299988,620.599976,621.73999,621.73999,1540100,-0.011887704,-0.011958928
8/11/2021,623.76001,627.419983,621.650024,626.030029,626.030029,1328300,0.006900053,0.006876357
8/12/2021,626,636.640015,624.039978,634.349976,634.349976,1163100,0.013290013,0.013202475
8/13/2021,634.48999,638.429993,632.349976,637.309998,637.309998,932100,0.004666229,0.004655376
8/16/2021,637.030029,638.02002,628.190002,636.940002,636.940002,1105500,-0.000580559,-0.000580728
8/17/2021,636.549988,637,630.219971,635.01001,635.01001,1346300,-0.0030301,-0.0030347
8/18/2021,632.799988,637.140015,626.049988,626.77002,626.77002,1386500,-0.012976158,-0.013061083
8/19/2021,624.880005,642.549988,623.630005,637.659973,637.659973,1693700,0.017374719,0.017225505
8/20/2021,639.840027,652,634.530029,647.340027,647.340027,1432400,0.015180589,0.015066517
8/23/2021,645.869995,658.5,645.52002,656.859985,656.859985,1652400,0.014706271,0.014599183
8/24/2021,659.140015,660,653.400024,657.23999,657.23999,866400,0.000578518,0.00057835
8/25/2021,658.609985,661.059998,651.640015,656.799988,656.799988,1047900,-0.000669469,-0.000669694
8/26/2021,653.590027,657.909973,649.349976,652.390015,652.390015,1619200,-0.006714332,-0.006736974
8/27/2021,652.52002,662.609985,651.859985,658.52002,658.52002,1142300,0.009396228,0.009352358
8/30/2021,659.780029,667.669983,659.780029,665.98999,665.98999,1341500,0.011343573,0.011279717
8/31/2021,667.900024,667.900024,660.460022,663.700012,663.700012,1877800,-0.003438457,-0.003444382
9/1/2021,664.51001,668.960022,662,665.890015,665.890015,1261200,0.003299688,0.003294256
9/2/2021,669.820007,669.849976,661.669983,664.640015,664.640015,1402400,-0.001877187,-0.001878951
9/3/2021,664.429993,673.880005,664.299988,666.590027,666.590027,1640300,0.002933937,0.002929642
9/7/2021,667.349976,668.869995,656.549988,661.390015,661.390015,1382300,-0.007800915,-0.007831501
9/8/2021,660.150024,664.080017,657.099976,663.219971,663.219971,1367700,0.002766833,0.002763013
9/9/2021,664.840027,667.460022,659.929993,661.679993,661.679993,1110200,-0.002321972,-0.002324672
9/10/2021,666.179993,668.869995,658.200012,658.940002,658.940002,1204200,-0.004140961,-0.004149558
9/13/2021,663.039978,663.599976,640.23999,645.150024,645.150024,2242500,-0.020927517,-0.021149601
9/14/2021,646,649.580017,642.460022,645.01001,645.01001,2150200,-0.000217025,-0.000217049
9/15/2021,652.320007,663.309998,650.97998,661.080017,661.080017,2009300,0.024914353,0.024609051
9/16/2021,657.530029,666.469971,654.710022,665.109985,665.109985,2046100,0.006096037,0.006077531
9/17/2021,663.210022,665,652.039978,654.47998,654.47998,3553200,-0.015982327,-0.016111421
9/20/2021,646.039978,653.929993,633.049988,641.289978,641.289978,2637400,-0.020153408,-0.020359258
9/21/2021,646.880005,650.950012,640.299988,645.890015,645.890015,2449300,0.0071731,0.007147495
9/22/2021,624.789978,628.940002,615.059998,626.080017,626.080017,5689600,-0.030670853,-0.031151048
9/23/2021,632.289978,633.820007,627.02002,630.840027,630.840027,2985500,0.007602878,0.007574122
9/24/2021,628,629.030029,618.219971,622.710022,622.710022,2809000,-0.012887586,-0.012971351
9/27/2021,615.799988,616.659973,602.72998,603.650024,603.650024,4152200,-0.030608144,-0.031086357
9/28/2021,596.309998,596.309998,578.330017,578.77002,578.77002,5108900,-0.041215941,-0.042089403
9/29/2021,585.450012,586.549988,576.070007,577.700012,577.700012,2726800,-0.001848762,-0.001850473
9/30/2021,580.640015,586.190002,573.23999,575.719971,575.719971,2743600,-0.003427455,-0.003433343
10/1/2021,577.52002,581.469971,568.609985,577.469971,577.469971,2915300,0.003039672,0.003035062
10/4/2021,574.590027,576.799988,552.140015,558.48999,558.48999,3977000,-0.032867477,-0.033419747
10/5/2021,563.909973,570.289978,559.210022,566.700012,566.700012,2337800,0.014700392,0.014593389
10/6/2021,561.23999,572.159973,560.210022,570.309998,570.309998,2043200,0.006370189,0.006349985
10/7/2021,578.460022,586.150024,576.190002,578.960022,578.960022,2648500,0.015167232,0.015053359
10/8/2021,581.299988,583.609985,575.52002,576.859985,576.859985,2050700,-0.003627257,-0.003633852
10/11/2021,574.5,582.280029,571.5,573.070007,573.070007,1410600,-0.006570014,-0.006591691
,,,,,,,,
,,,,,,,,
,,,Avg. Daily Return,-0.0644%,,,,
,,,Annual Return,-16.234%,Mu,,,
,,,Return Variance,0.000157545,,,,
,,,Estimated Volatility,19.9252%,Sigma,,,
